Site-Specific Likelihood Analysis for Clade_10
==================================================

Supporting sites: 626
Conflicting sites: 272
Neutral sites: 1
Support ratio: 2.3015
Sum of supporting deltas: -80.1329
Sum of conflicting deltas: 64.0283
Weighted support ratio: 1.2515

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.456587	2.469870	-0.013284	True
2	2.456587	2.469870	-0.013284	True
3	4.038130	4.056954	-0.018824	True
4	5.184402	5.202342	-0.017940	True
5	2.772967	2.787649	-0.014683	True
6	2.772967	2.787649	-0.014683	True
7	10.230275	10.463717	-0.233442	True
8	5.548879	5.459827	0.089052	False
9	5.816510	5.831321	-0.014811	True
10	15.007928	15.152837	-0.144909	True
11	4.038130	4.056954	-0.018824	True
12	4.038130	4.056954	-0.018824	True
13	12.533408	12.267950	0.265458	False
14	4.038130	4.056954	-0.018824	True
15	2.562234	2.575998	-0.013765	True
16	4.949938	4.967350	-0.017412	True
17	10.817138	10.870709	-0.053571	True
18	9.148160	9.127283	0.020877	False
19	17.140367	14.562088	2.578279	False
20	11.384453	11.293600	0.090854	False
21	12.406741	12.343622	0.063118	False
22	12.991821	13.045613	-0.053792	True
23	2.562234	2.575998	-0.013765	True
24	2.772967	2.787649	-0.014683	True
25	19.127626	18.953876	0.173750	False
26	2.456587	2.469870	-0.013284	True
27	2.772967	2.787649	-0.014683	True
28	12.173326	12.318905	-0.145580	True
29	7.175615	6.842577	0.333037	False
30	2.772967	2.787649	-0.014683	True
31	20.854252	20.583095	0.271157	False
32	4.038130	4.056954	-0.018824	True
33	2.562234	2.575998	-0.013765	True
34	12.352344	12.515309	-0.162965	True
35	2.562234	2.575998	-0.013765	True
36	2.456587	2.469870	-0.013284	True
37	12.931381	12.602530	0.328850	False
38	4.038130	4.056954	-0.018824	True
39	4.038130	4.056954	-0.018824	True
40	18.676868	18.805035	-0.128167	True
41	5.227343	5.238136	-0.010793	True
42	2.772967	2.787649	-0.014683	True
43	13.815825	13.755398	0.060428	False
44	2.456587	2.469870	-0.013284	True
45	2.562234	2.575998	-0.013765	True
46	11.842167	11.848895	-0.006729	True
47	2.772967	2.787649	-0.014683	True
48	2.562234	2.575998	-0.013765	True
49	17.765993	17.607513	0.158481	False
50	2.772967	2.787649	-0.014683	True
51	2.562234	2.575998	-0.013765	True
52	8.938629	8.919032	0.019597	False
53	12.331764	12.301839	0.029926	False
54	2.772967	2.787649	-0.014683	True
55	15.097890	15.110050	-0.012160	True
56	14.874240	13.135302	1.738939	False
57	5.627305	5.539365	0.087940	False
58	12.955324	13.015620	-0.060295	True
59	2.772967	2.787649	-0.014683	True
60	2.772967	2.787649	-0.014683	True
61	5.184402	5.202342	-0.017940	True
62	2.772967	2.787649	-0.014683	True
63	4.038130	4.056954	-0.018824	True
64	5.470923	5.481829	-0.010907	True
65	9.493274	8.014069	1.479204	False
66	2.772967	2.787649	-0.014683	True
67	13.755200	12.177422	1.577778	False
68	4.038130	4.056954	-0.018824	True
69	2.562234	2.575998	-0.013765	True
70	8.134738	8.048467	0.086271	False
71	2.456587	2.469870	-0.013284	True
72	2.456587	2.469870	-0.013284	True
73	9.531665	11.383690	-1.852025	True
74	5.192160	5.211104	-0.018943	True
75	2.562234	2.575998	-0.013765	True
76	5.366011	5.376453	-0.010442	True
77	2.456587	2.469870	-0.013284	True
78	2.456587	2.469870	-0.013284	True
79	9.124614	9.208956	-0.084342	True
80	2.772967	2.787649	-0.014683	True
81	2.456587	2.469870	-0.013284	True
82	10.809142	12.750051	-1.940909	True
83	4.038130	4.056954	-0.018824	True
84	2.456587	2.469870	-0.013284	True
85	7.425945	7.405362	0.020583	False
86	2.562234	2.575998	-0.013765	True
87	4.038130	4.056954	-0.018824	True
88	10.067736	12.216183	-2.148447	True
89	6.008059	6.025471	-0.017412	True
90	6.369387	6.275270	0.094116	False
91	16.605048	16.678576	-0.073528	True
92	2.562234	2.575998	-0.013765	True
93	2.456587	2.469870	-0.013284	True
94	9.513817	9.490702	0.023115	False
95	2.456587	2.469870	-0.013284	True
96	8.197467	10.850577	-2.653110	True
97	9.992351	12.347839	-2.355488	True
98	2.562234	2.575998	-0.013765	True
99	4.038130	4.056954	-0.018824	True
100	12.801269	13.788072	-0.986803	True
101	2.456587	2.469870	-0.013284	True
102	9.755642	9.892658	-0.137017	True
103	6.100058	6.008525	0.091533	False
104	2.456587	2.469870	-0.013284	True
105	2.772967	2.787649	-0.014683	True
106	2.456587	2.469870	-0.013284	True
107	10.780339	10.716284	0.064056	False
108	7.612405	7.607795	0.004610	False
109	13.308010	11.145114	2.162895	False
110	5.227343	5.238136	-0.010793	True
111	2.772967	2.787649	-0.014683	True
112	14.760268	14.955091	-0.194824	True
113	8.955430	8.915050	0.040379	False
114	2.562234	2.575998	-0.013765	True
115	13.764779	13.767264	-0.002485	True
116	2.562234	2.575998	-0.013765	True
117	8.149398	8.184455	-0.035057	True
118	10.831633	10.936982	-0.105349	True
119	4.038130	4.056954	-0.018824	True
120	4.038130	4.056954	-0.018824	True
121	15.334852	15.208322	0.126530	False
122	5.274549	5.285456	-0.010907	True
123	2.772967	2.787649	-0.014683	True
124	16.789760	17.600391	-0.810631	True
125	2.562234	2.575998	-0.013765	True
126	2.456587	2.469870	-0.013284	True
127	2.456587	2.469870	-0.013284	True
128	6.578329	6.634351	-0.056022	True
129	5.646211	5.557212	0.088999	False
130	16.574472	17.013474	-0.439002	True
131	8.467663	8.521427	-0.053764	True
132	2.772967	2.787649	-0.014683	True
133	5.366011	5.376453	-0.010442	True
134	7.642761	7.632920	0.009840	False
135	2.772967	2.787649	-0.014683	True
136	9.337247	11.205435	-1.868188	True
137	2.562234	2.575998	-0.013765	True
138	2.562234	2.575998	-0.013765	True
139	12.010009	11.922342	0.087667	False
140	6.605169	6.584918	0.020251	False
141	2.772967	2.787649	-0.014683	True
142	15.302495	15.212943	0.089553	False
143	6.008059	6.025471	-0.017412	True
144	8.161897	8.079626	0.082271	False
145	2.456587	2.469870	-0.013284	True
146	4.038130	4.056954	-0.018824	True
147	6.153113	6.163905	-0.010793	True
148	13.992351	14.303629	-0.311278	True
149	14.509552	14.477947	0.031605	False
150	5.848657	5.865066	-0.016410	True
151	14.079256	13.958573	0.120682	False
152	2.772967	2.787649	-0.014683	True
153	4.038130	4.056954	-0.018824	True
154	2.456587	2.469870	-0.013284	True
155	2.772967	2.787649	-0.014683	True
156	4.038130	4.056954	-0.018824	True
157	2.456587	2.469870	-0.013284	True
158	9.320283	9.185258	0.135025	False
159	2.772967	2.787649	-0.014683	True
160	17.662488	17.933537	-0.271049	True
161	9.535537	9.489450	0.046087	False
162	8.641399	8.592845	0.048554	False
163	10.387569	10.232961	0.154608	False
164	4.038130	4.056954	-0.018824	True
165	2.562234	2.575998	-0.013765	True
166	5.558954	5.572960	-0.014006	True
167	2.456587	2.469870	-0.013284	True
168	6.463427	6.480274	-0.016847	True
169	5.227343	5.238136	-0.010793	True
170	5.184402	5.202342	-0.017940	True
171	2.772967	2.787649	-0.014683	True
172	8.579958	8.495211	0.084747	False
173	12.585803	12.484106	0.101697	False
174	2.562234	2.575998	-0.013765	True
175	9.024065	8.872992	0.151073	False
176	2.456587	2.469870	-0.013284	True
177	2.456587	2.469870	-0.013284	True
178	6.355603	6.020718	0.334885	False
179	2.562234	2.575998	-0.013765	True
180	2.772967	2.787649	-0.014683	True
181	14.459237	14.334235	0.125002	False
182	4.038130	4.056954	-0.018824	True
183	2.562234	2.575998	-0.013765	True
184	6.355603	6.020718	0.334885	False
185	9.742434	9.795556	-0.053122	True
186	2.772967	2.787649	-0.014683	True
187	5.082289	5.099701	-0.017412	True
188	2.562234	2.575998	-0.013765	True
189	2.562234	2.575998	-0.013765	True
190	5.743280	5.709570	0.033710	False
191	11.217868	10.861195	0.356673	False
192	2.562234	2.575998	-0.013765	True
193	11.175466	11.242246	-0.066779	True
194	8.898110	8.898345	-0.000234	True
195	2.562234	2.575998	-0.013765	True
196	13.507993	12.809662	0.698332	False
197	2.456587	2.469870	-0.013284	True
198	2.772967	2.787649	-0.014683	True
199	13.128708	13.272207	-0.143499	True
200	2.456587	2.469870	-0.013284	True
201	2.456587	2.469870	-0.013284	True
202	15.068733	15.236171	-0.167438	True
203	5.816510	5.831321	-0.014811	True
204	2.772967	2.787649	-0.014683	True
205	12.626923	12.707131	-0.080208	True
206	8.619739	8.580167	0.039573	False
207	2.772967	2.787649	-0.014683	True
208	16.989014	16.864683	0.124332	False
209	4.038130	4.056954	-0.018824	True
210	4.038130	4.056954	-0.018824	True
211	21.961502	21.538759	0.422743	False
212	4.038130	4.056954	-0.018824	True
213	2.456587	2.469870	-0.013284	True
214	7.285214	7.129872	0.155341	False
215	5.227343	5.238136	-0.010793	True
216	2.772967	2.787649	-0.014683	True
217	9.396739	9.326659	0.070080	False
218	5.297678	5.309572	-0.011894	True
