Site-Specific Likelihood Analysis for Clade_5
==================================================

Supporting sites: 666
Conflicting sites: 232
Neutral sites: 1
Support ratio: 2.8707
Sum of supporting deltas: -70.6060
Sum of conflicting deltas: 42.0247
Weighted support ratio: 1.6801

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.794078	2.817347	-0.023269	True
2	2.794078	2.817347	-0.023269	True
3	2.794078	2.817347	-0.023269	True
4	5.531405	5.570148	-0.038743	True
5	2.794078	2.817347	-0.023269	True
6	2.794078	2.817347	-0.023269	True
7	10.688236	10.706909	-0.018673	True
8	6.006206	5.779280	0.226926	False
9	6.196371	6.222910	-0.026539	True
10	16.103041	16.031779	0.071263	False
11	2.794078	2.817347	-0.023269	True
12	2.794078	2.817347	-0.023269	True
13	13.377375	13.346180	0.031195	False
14	2.794078	2.817347	-0.023269	True
15	2.794078	2.817347	-0.023269	True
16	5.531405	5.570148	-0.038743	True
17	10.281942	10.298710	-0.016767	True
18	9.626895	9.619117	0.007778	False
19	16.921968	16.934428	-0.012460	True
20	10.066029	10.104336	-0.038307	True
21	13.151213	13.177168	-0.025955	True
22	13.681484	13.700725	-0.019241	True
23	2.794078	2.817347	-0.023269	True
24	2.794078	2.817347	-0.023269	True
25	20.324002	20.812181	-0.488179	True
26	2.794078	2.817347	-0.023269	True
27	2.794078	2.817347	-0.023269	True
28	10.882144	10.924623	-0.042479	True
29	6.698171	6.705149	-0.006979	True
30	2.794078	2.817347	-0.023269	True
31	21.697017	21.666557	0.030460	False
32	2.794078	2.817347	-0.023269	True
33	2.794078	2.817347	-0.023269	True
34	13.120831	13.123239	-0.002408	True
35	2.794078	2.817347	-0.023269	True
36	2.794078	2.817347	-0.023269	True
37	13.552500	13.582506	-0.030006	True
38	2.794078	2.817347	-0.023269	True
39	2.794078	2.817347	-0.023269	True
40	16.802362	16.603202	0.199160	False
41	5.545792	5.573017	-0.027225	True
42	2.794078	2.817347	-0.023269	True
43	14.858861	14.637541	0.221320	False
44	2.794078	2.817347	-0.023269	True
45	2.794078	2.817347	-0.023269	True
46	12.900439	12.764845	0.135594	False
47	2.794078	2.817347	-0.023269	True
48	2.794078	2.817347	-0.023269	True
49	18.093237	17.871603	0.221634	False
50	2.794078	2.817347	-0.023269	True
51	2.794078	2.817347	-0.023269	True
52	9.628066	9.620577	0.007489	False
53	13.359001	14.683897	-1.324896	True
54	2.794078	2.817347	-0.023269	True
55	12.964715	12.902531	0.062184	False
56	15.737436	15.919777	-0.182340	True
57	6.006206	5.779280	0.226926	False
58	12.839140	12.642961	0.196178	False
59	2.794078	2.817347	-0.023269	True
60	2.794078	2.817347	-0.023269	True
61	5.531405	5.570148	-0.038743	True
62	2.794078	2.817347	-0.023269	True
63	2.794078	2.817347	-0.023269	True
64	5.819781	5.825426	-0.005645	True
65	10.028995	9.901971	0.127024	False
66	2.794078	2.817347	-0.023269	True
67	13.319214	13.170541	0.148673	False
68	2.794078	2.817347	-0.023269	True
69	2.794078	2.817347	-0.023269	True
70	8.995361	8.786694	0.208667	False
71	2.794078	2.817347	-0.023269	True
72	2.794078	2.817347	-0.023269	True
73	10.017307	10.048345	-0.031039	True
74	5.531405	5.570148	-0.038743	True
75	2.794078	2.817347	-0.023269	True
76	5.819781	5.825426	-0.005645	True
77	2.794078	2.817347	-0.023269	True
78	2.794078	2.817347	-0.023269	True
79	9.553117	9.585160	-0.032043	True
80	2.794078	2.817347	-0.023269	True
81	2.794078	2.817347	-0.023269	True
82	11.288757	11.307719	-0.018963	True
83	2.794078	2.817347	-0.023269	True
84	2.794078	2.817347	-0.023269	True
85	6.923418	6.928938	-0.005519	True
86	2.794078	2.817347	-0.023269	True
87	2.794078	2.817347	-0.023269	True
88	10.948624	10.676503	0.272121	False
89	5.531405	5.570148	-0.038743	True
90	6.737425	6.364284	0.373141	False
91	17.364826	17.302287	0.062539	False
92	2.794078	2.817347	-0.023269	True
93	2.794078	2.817347	-0.023269	True
94	9.949103	9.937016	0.012087	False
95	2.794078	2.817347	-0.023269	True
96	7.281431	7.295580	-0.014148	True
97	10.475165	10.474498	0.000668	False
98	2.794078	2.817347	-0.023269	True
99	2.794078	2.817347	-0.023269	True
100	13.758533	13.602106	0.156427	False
101	2.794078	2.817347	-0.023269	True
102	10.254758	10.816496	-0.561737	True
103	6.737425	6.364284	0.373141	False
104	2.794078	2.817347	-0.023269	True
105	2.794078	2.817347	-0.023269	True
106	2.794078	2.817347	-0.023269	True
107	10.804092	10.837025	-0.032933	True
108	8.104812	8.052847	0.051964	False
109	14.175612	16.185608	-2.009996	True
110	5.545792	5.573017	-0.027225	True
111	2.794078	2.817347	-0.023269	True
112	14.682558	14.617571	0.064988	False
113	8.389829	8.213384	0.176445	False
114	2.794078	2.817347	-0.023269	True
115	14.865507	14.850065	0.015442	False
116	2.794078	2.817347	-0.023269	True
117	7.341305	7.259924	0.081381	False
118	10.488727	10.520414	-0.031687	True
119	2.794078	2.817347	-0.023269	True
120	2.794078	2.817347	-0.023269	True
121	15.131063	13.993582	1.137481	False
122	5.819781	5.825426	-0.005645	True
123	2.794078	2.817347	-0.023269	True
124	17.653399	17.393571	0.259828	False
125	2.794078	2.817347	-0.023269	True
126	2.794078	2.817347	-0.023269	True
127	2.794078	2.817347	-0.023269	True
128	6.090844	6.095352	-0.004508	True
129	6.006206	5.779280	0.226926	False
130	17.483258	17.434742	0.048517	False
131	9.116416	9.102085	0.014331	False
132	2.794078	2.817347	-0.023269	True
133	5.819781	5.825426	-0.005645	True
134	8.104812	8.052847	0.051964	False
135	2.794078	2.817347	-0.023269	True
136	10.018528	10.048374	-0.029846	True
137	2.794078	2.817347	-0.023269	True
138	2.794078	2.817347	-0.023269	True
139	11.878406	11.706818	0.171588	False
140	6.923418	6.928938	-0.005519	True
141	2.794078	2.817347	-0.023269	True
142	14.119798	13.509536	0.610262	False
143	5.531405	5.570148	-0.038743	True
144	8.723215	8.531689	0.191527	False
145	2.794078	2.817347	-0.023269	True
146	2.794078	2.817347	-0.023269	True
147	5.545792	5.573017	-0.027225	True
148	14.774151	14.798698	-0.024547	True
149	15.602762	15.424122	0.178640	False
150	6.196371	6.222910	-0.026539	True
151	14.854950	14.868730	-0.013779	True
152	2.794078	2.817347	-0.023269	True
153	2.794078	2.817347	-0.023269	True
154	2.794078	2.817347	-0.023269	True
155	2.794078	2.817347	-0.023269	True
156	2.794078	2.817347	-0.023269	True
157	2.794078	2.817347	-0.023269	True
158	9.872200	9.684372	0.187828	False
159	2.794078	2.817347	-0.023269	True
160	18.930978	18.854794	0.076184	False
161	9.291438	9.042033	0.249405	False
162	9.186005	8.901260	0.284745	False
163	10.177077	10.232353	-0.055276	True
164	2.794078	2.817347	-0.023269	True
165	2.794078	2.817347	-0.023269	True
166	6.196371	6.222910	-0.026539	True
167	2.794078	2.817347	-0.023269	True
168	5.545792	5.573017	-0.027225	True
169	5.545792	5.573017	-0.027225	True
170	5.531405	5.570148	-0.038743	True
171	2.794078	2.817347	-0.023269	True
172	9.336232	9.183065	0.153168	False
