Site-Specific Likelihood Analysis for Clade_4
==================================================

Supporting sites: 631
Conflicting sites: 267
Neutral sites: 1
Support ratio: 2.3633
Sum of supporting deltas: -50.8239
Sum of conflicting deltas: 38.0002
Weighted support ratio: 1.3375

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.794078	2.806699	-0.012622	True
2	2.794078	2.806699	-0.012622	True
3	2.794078	2.806699	-0.012622	True
4	5.531405	5.554526	-0.023121	True
5	2.794078	2.806699	-0.012622	True
6	2.794078	2.806699	-0.012622	True
7	10.688236	10.714676	-0.026440	True
8	6.006206	6.056784	-0.050578	True
9	6.196371	6.029918	0.166453	False
10	16.103041	16.038575	0.064466	False
11	2.794078	2.806699	-0.012622	True
12	2.794078	2.806699	-0.012622	True
13	13.377375	13.230086	0.147289	False
14	2.794078	2.806699	-0.012622	True
15	2.794078	2.806699	-0.012622	True
16	5.531405	5.554526	-0.023121	True
17	10.281942	10.295527	-0.013584	True
18	9.626895	9.498325	0.128570	False
19	16.921968	16.811658	0.110310	False
20	10.066029	10.102919	-0.036890	True
21	13.151213	13.195900	-0.044688	True
22	13.681484	13.516272	0.165213	False
23	2.794078	2.806699	-0.012622	True
24	2.794078	2.806699	-0.012622	True
25	20.324002	20.440838	-0.116837	True
26	2.794078	2.806699	-0.012622	True
27	2.794078	2.806699	-0.012622	True
28	10.882144	10.903515	-0.021371	True
29	6.698171	6.716478	-0.018307	True
30	2.794078	2.806699	-0.012622	True
31	21.697017	21.745294	-0.048277	True
32	2.794078	2.806699	-0.012622	True
33	2.794078	2.806699	-0.012622	True
34	13.120831	13.017675	0.103156	False
35	2.794078	2.806699	-0.012622	True
36	2.794078	2.806699	-0.012622	True
37	13.552500	13.326609	0.225891	False
38	2.794078	2.806699	-0.012622	True
39	2.794078	2.806699	-0.012622	True
40	16.802362	17.043774	-0.241412	True
41	5.545792	5.427410	0.118382	False
42	2.794078	2.806699	-0.012622	True
43	14.858861	14.916014	-0.057153	True
44	2.794078	2.806699	-0.012622	True
45	2.794078	2.806699	-0.012622	True
46	12.900439	12.737985	0.162453	False
47	2.794078	2.806699	-0.012622	True
48	2.794078	2.806699	-0.012622	True
49	18.093237	18.127827	-0.034590	True
50	2.794078	2.806699	-0.012622	True
51	2.794078	2.806699	-0.012622	True
52	9.628066	9.504317	0.123749	False
53	13.359001	13.312063	0.046937	False
54	2.794078	2.806699	-0.012622	True
55	12.964715	12.847822	0.116893	False
